Area Code,Area,Item Code,Item,Element,Year,Unit,Value,Flag
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),2005,tonnes,346760.05,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),2006,tonnes,389482.61,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),2007,tonnes,610548.43,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),2008,tonnes,386627.68,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),2009,tonnes,341182.57,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),2010,tonnes,274417.53,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),2011,tonnes,151892.29,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),2012,tonnes,143090.43,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),2013,tonnes,154971.29,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1961,tonnes,570,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1962,tonnes,142,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1963,tonnes,627,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1964,tonnes,86,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1965,tonnes,95,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1966,tonnes,822,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1967,tonnes,1720,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1968,tonnes,1468,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1969,tonnes,2488,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1970,tonnes,2698,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1971,tonnes,3794,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1972,tonnes,3971,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1973,tonnes,5599,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1974,tonnes,5783,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1975,tonnes,5379,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1976,tonnes,4955,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1977,tonnes,5716,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1978,tonnes,8010,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1979,tonnes,23779,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1980,tonnes,13898,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1981,tonnes,467,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1982,tonnes,1122,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1983,tonnes,718,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1984,tonnes,7400,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1985,tonnes,2015,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1986,tonnes,6685,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1987,tonnes,17552,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1988,tonnes,31390,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1989,tonnes,44956,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1990,tonnes,46720,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1991,tonnes,298545,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1992,tonnes,161824,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1993,tonnes,138617,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1994,tonnes,131168,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1995,tonnes,114024,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1996,tonnes,117586,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1997,tonnes,126958,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1998,tonnes,80495,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),1999,tonnes,158842,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),2000,tonnes,174497,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),2001,tonnes,183842,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),2002,tonnes,177079,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),2003,tonnes,208946,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),2004,tonnes,197820,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),2005,tonnes,240578,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),2006,tonnes,265649,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),2007,tonnes,292275,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),2008,tonnes,245190,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),2009,tonnes,244173,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),2010,tonnes,321014,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),2011,tonnes,334444,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),2012,tonnes,349397,S
117,Republic of Korea,2615,Bananas,Food supply quantity (tonnes),2013,tonnes,297919,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1961,tonnes,1657146,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1962,tonnes,1487820,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1963,tonnes,1111302,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1964,tonnes,1241321,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1965,tonnes,1593101,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1966,tonnes,1805523,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1967,tonnes,1785295,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1968,tonnes,1922940,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1969,tonnes,1869536,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1970,tonnes,1581567,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1971,tonnes,1669164,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1972,tonnes,1819093,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1973,tonnes,2036285,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1974,tonnes,1956592,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1975,tonnes,2303261,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1976,tonnes,1891819,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1977,tonnes,951574,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1978,tonnes,1276734,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1979,tonnes,1066067,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1980,tonnes,404206,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1981,tonnes,784293,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1982,tonnes,548574,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1983,tonnes,691576,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1984,tonnes,583819,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1985,tonnes,464015,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1986,tonnes,427364,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1987,tonnes,519104,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1988,tonnes,564921.41,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1989,tonnes,533865.21,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1990,tonnes,423747.2,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1991,tonnes,330918.34,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1992,tonnes,334495.28,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1993,tonnes,278488.4,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1994,tonnes,186090.59,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1995,tonnes,283596.02,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1996,tonnes,265722.84,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1997,tonnes,69109.34,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1998,tonnes,141900.53,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),1999,tonnes,181887.81,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),2000,tonnes,92814.9,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),2001,tonnes,288364.98,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),2002,tonnes,222318.87,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),2003,tonnes,162666.31,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),2004,tonnes,208486.34,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),2005,tonnes,232695.5,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),2006,tonnes,22008.35,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),2007,tonnes,58132,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),2008,tonnes,30156.38,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),2009,tonnes,50382,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),2010,tonnes,7156.04,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),2011,tonnes,48413,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),2012,tonnes,73451.13,S
117,Republic of Korea,2513,Barley and products,Food supply quantity (tonnes),2013,tonnes,12507,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1961,tonnes,14145,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1962,tonnes,15738,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1963,tonnes,16202,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1964,tonnes,17528,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1965,tonnes,12501,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1966,tonnes,17016,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1967,tonnes,20915,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1968,tonnes,28721,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1969,tonnes,27545,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1970,tonnes,27522,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1971,tonnes,17903,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1972,tonnes,19971,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1973,tonnes,23888,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1974,tonnes,31336,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1975,tonnes,31990,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1976,tonnes,38653,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1977,tonnes,40476,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1978,tonnes,30675,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1979,tonnes,46884,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1980,tonnes,39844,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1981,tonnes,46913,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1982,tonnes,49515,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1983,tonnes,40687,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1984,tonnes,46358,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1985,tonnes,45389,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1986,tonnes,54112,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1987,tonnes,54352,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1988,tonnes,57813,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1989,tonnes,37091,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1990,tonnes,40287,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1991,tonnes,67278,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1992,tonnes,61436,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1993,tonnes,58176,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1994,tonnes,63781,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1995,tonnes,61062,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1996,tonnes,66547,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1997,tonnes,53054,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1998,tonnes,49671,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),1999,tonnes,58542,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),2000,tonnes,61237,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),2001,tonnes,62954,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),2002,tonnes,59423,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),2003,tonnes,62194,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),2004,tonnes,64709,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),2005,tonnes,60944,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),2006,tonnes,51035,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),2007,tonnes,57772,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),2008,tonnes,53198,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),2009,tonnes,50647,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),2010,tonnes,55836,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),2011,tonnes,55987,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),2012,tonnes,50379,S
117,Republic of Korea,2546,Beans,Food supply quantity (tonnes),2013,tonnes,50881,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1961,tonnes,12788,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1962,tonnes,7202,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1963,tonnes,12789,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1964,tonnes,24552,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1965,tonnes,41821,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1966,tonnes,40036,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1967,tonnes,57657,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1968,tonnes,45403,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1969,tonnes,58541,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1970,tonnes,89679,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1971,tonnes,114346,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1972,tonnes,92726,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1973,tonnes,126943,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1974,tonnes,159218,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1975,tonnes,175425,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1976,tonnes,187737,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1977,tonnes,240631,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1978,tonnes,440005,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1979,tonnes,634490,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1980,tonnes,573409,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1981,tonnes,589845,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1982,tonnes,618220,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1983,tonnes,700089,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1984,tonnes,751048,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1985,tonnes,782157,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1986,tonnes,792878,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1987,tonnes,868031,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1988,tonnes,1014887,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1989,tonnes,1192352,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1990,tonnes,1281656,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1991,tonnes,1562902,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1992,tonnes,1531986,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1993,tonnes,1490865,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1994,tonnes,1677005,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1995,tonnes,1713511,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1996,tonnes,1667312,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1997,tonnes,1632710,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1998,tonnes,1361910,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),1999,tonnes,1444753,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),2000,tonnes,1611494,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),2001,tonnes,1732997,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),2002,tonnes,1771151,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),2003,tonnes,1733428,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),2004,tonnes,1749616,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),2005,tonnes,1687855,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),2006,tonnes,1684524,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),2007,tonnes,1770662,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),2008,tonnes,1855306,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),2009,tonnes,1832157,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),2010,tonnes,1887661,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),2011,tonnes,1967195,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),2012,tonnes,1980070,S
117,Republic of Korea,2656,Beer,Food supply quantity (tonnes),2013,tonnes,2052184,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1961,tonnes,18981,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1962,tonnes,19463,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1963,tonnes,16407,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1964,tonnes,16352,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1965,tonnes,25527,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1966,tonnes,31034,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1967,tonnes,46575,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1968,tonnes,44285,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1969,tonnes,47285,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1970,tonnes,52553,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1971,tonnes,60022,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1972,tonnes,61114,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1973,tonnes,73212,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1974,tonnes,87073,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1975,tonnes,115389,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1976,tonnes,123111,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1977,tonnes,133641,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1978,tonnes,131050,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1979,tonnes,126954,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1980,tonnes,131045,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1981,tonnes,147846,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1982,tonnes,159897,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1983,tonnes,167150,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1984,tonnes,182593,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1985,tonnes,173428,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1986,tonnes,178926,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1987,tonnes,188562,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1988,tonnes,215928,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1989,tonnes,213180,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1990,tonnes,205815,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1991,tonnes,199741,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1992,tonnes,207178,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1993,tonnes,217978,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1994,tonnes,229253,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1995,tonnes,230482,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1996,tonnes,225976,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1997,tonnes,234588,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1998,tonnes,236338,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),1999,tonnes,249485,S
117,Republic of Korea,2658,"Beverages, Alcoholic",Food supply quantity (tonnes),2000,tonnes,223643,S
